"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"31","Cell-type and sex-specific targets of prenatal alcohol exposure in the developing mouse cerebral cortex: Identification of novel mechanisms for teratogenesis","salem",2021,"experiment","differentially regulated genes, autism-linked genes","","","","","prenatal alcohol exposure, gene inhibition, neural loss of xci","murine fetal cerebral cortical cells from six timed pregnancies","cerebral cortical dysgenesis","","","single-cell RNAseq, analysis of 38 distinct neural subpopulations across 8 lineage subtypes","","","","",""
"32","Genetic and epigenetic underpinnings of sex differences in the brain and in neurological and psychiatric disease susceptibility","qureshi",2010,"review","","","","x","","","","brain diseases","","x","","","","","",""
"33","SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism","beaudet",2017,"study","SLC6A14","","","x","","brain carnitine deficiency, exci","","autism","","","observation of carnitine across blood brain barrier in mice","","","","",""
"34","Sex-specific expression of the X-linked histone demethylase gene Jarid1c in brain","xu",2008,"","JARID1C","","","x","","sex-specific expression","","brain function","","","","","","","","they don't say it but i think jarid1c was an exits gene"
"35","X chromosome factor Kdm6a enhances memory independent of its demethylase function in the aging XY male brain","shaw",2022,"","KDM6A","","","x","","xci","","brain","","","","","","","",""
"36","Network analysis identifies sex‐specific gene expression changes in blood of amyotrophic lateral sclerosis patients","santiago",2021,"study","","","","","","switch genes","","amyotrophic lateral sclerosis","","","coexpression networks implemented by the SWitch Miner software to ID switch genes assocated with drastic transcriptomic changes in the blood of ALS patients","","","","",""
"37","Two novel PCDH19 mutations in Russian patients with epilepsy with intellectual disability limited to females: a case report","kozina",2020,"case study","PCDH19","","","x","","mutations, xci","","epilepsy with intellectual disability limited to females","","","","","","","",""
"38","Maternal Antibody and ASD: Clinical Data and Animal Models","gata-garcia",2019,"review","","","","x","","","","neuropsychiatric and neurodevelopmental disorders, immunity, autoimmune disorders","","","","","","","",""
"39","DNA methylation impact on Fabry disease","di risi",2021,"review","","","","","","xci skew","","fabry disease","","dna methylation","","","","","",""
"40","ARHGEF9 disease","alber",2017,"study","ARHGEF9","","","","","gene mutation, chromosomal disruptions, xci","","neurological","","","18 patient study","","","","",""
"41","An intronic haplotype in Œ± galactosidase A is associated with reduced mRNA expression in males with cryptogenic stroke","zeevi",2014,"patinet study","fabry alpha-glactosidase gene (GLA)","","","","","","","fabry disease, early-onset stroke","","","patient studies (halotyping?)","","","","",""
"42","Inactivation status of PCDH11X: Sexual dimorphisms in gene expression levels in brain","lopes",2006,"experiment","PCDH11X/PCDHX","","gene pair unique to humans (potentially related to mammalian evolution)","x","","exci","","brain","","cpg island methylation","bisulphite sequencing analysis, quantitative real-time PCR","","","","",""
"43","Deletions in Xq26.3-q27.3 including FMR1 result in a severe phenotype in a male and variable phenotypes in females depending upon the X inactivation pattern","wolff",1997,"family case study","FMR1, Xq26.3-q27.3","","","","","cytogenetic deletion","","fragile x, intellectual, neurological development","","methylation analyses","case studies  of two families","","","","",""
"44","Detection of Fabry's disease heterozygotes by hair root analysis","beaudet",1978,"study","","","","","","α-galactosidase/β-hexosaminidase ratio, new mutation?, maybe xci","","fabry's disease","","","ratio measured for individual hair roots as a method for heterozygote detection","","","","",""
"45","Skewed X-chromosome inactivation and XIST locus methylation levels do not contribute to the lower prevalence of Parkinson's disease in females","sharma",2017,"study","","","","x","","skewed xci, hypomethylation","","parkinson's disease","","","examined xci patterns using a human androgen receptor gene-based array (determined NO ASSOCIATION), dna methylation analysis","","","","",""
"46","A systematic review and meta-analysis of 271 PCDH19-variant individuals identifies psychiatric comorbidities, and association of seizure onset and disease severity","kolc",2019,"review","PCDH19","","","","","gene mutations","","epilepsy and mental retardation limited to females, eemr","","","","","","","",""
"47","Sex Differences in the Cerebellum and Frontal Cortex: Roles of Estrogen Receptor Alpha and Sex Chromosome Genes","abel",2011,"study","","sex chr genes","","x","","","calbindin D28K","neurobehavioral disease","","","""weanling C56BL/6J mice were used to examine sex differences in the Calb protein and message focusing on regions outside of the hypothalamus""","","","","",""
"48","The genetics of sex differences in brain and behavior","ngun",2011,"review","","","","x","","","","behavioral, brain","","","","","","","",""
"49","Fabry disease - a rare but important cause of left ventricular hypertrophy","muller",2018,"","","","","","","x-linked lysosomal storage disease, xci","","fabry disease","","","","","","","",""
"50","Sex and gender differences in the causes of dementia: A narrative review","rocca",2014,"review","","","","x","","protein differences","","dementia, alzheimer's ","","","","","","","",""
"51","Sex-specific epigenetic programming by gestational stress","bale",2017,"experiment","","","","x","","","","neurodevelopmental disorders","x","","mouse model of early prenatal stress, chip seq;","","","","",""
"52","The Sexual Differentiation of the Human Brain: Role of Sex Hormones Versus Sex Chromosomes","Bakker",2019,"review","","","","x","","sex hormones","","human brain","","","","","","","",""
"53","Prenatal sex differences in the human brain before and after sexual maturation of the gonads","Johansson",2012,"experiment","","","","x","","sex cell differentiation","","human brain","","","","","","","",""
"54","A new sex-specific underlying mechanism for female schizophrenia: accelerated skewed X chromosome inactivation","Zhang",2020,"study","","","","x","","skewed xci","","schizophrenia, neurological","","","","","","","",""
"55","X-linked imprinting: Effects on brain and behaviour","Davies",2006,"review","","","imprinting","x","","","","neurological, brain","","","","","","","",""
"56","Could a recommended daily allowance for carnitine in infancy prevent 10-20% of autism?","Beaudet",2018,"experiment","SLC6A14","TMLHE","","x","","brain carnitine deficiency, xci","","autism, brain","","","mice","","","","",""
"57","The omniscient placenta: Metabolic and epigenetic regulation of fetal programming","Nugent",2015,"review","OGT","","","","","hypothalamic pituitary adrenal axis, HPA","","pregnacy, neurological, prenatal stress, neurodevelopment","","","","","","","",""
"58","Biological underpinnings of sex differences in neurological disorders","Winek",2022,"review","","","","x","","","","neurological, brain","","","","","","","",""
"59","Gene regulatory mechanisms underlying sex differences in brain development and psychiatric disease","Manoli",2018,"review","","","","x","","mutations, sex hormone receptors","","brain, psychiatic disease, neurological, nervous system, neuropsychiatric","","","","","","","",""
"60","Translating the Transcriptome: Sex Differences in the Mechanisms of Depression and Stress, Revisited","Rainville",2022,"review","","","","x","","","","stress, mood disorder, depression, brain","","","","","","","",""
"61","Exploring Uncharted Territory: Genetically Determined Sex Differences in Parkinson's Disease","Klein",2021,"","","","","","","","","parkinson's disease","","","","","","","",""
"62","Using mouse models to investigate sex-linked genetic effects on brain, behaviour and vulnerability to neuropsychiatric disorders","Davies",2013,"review","","","mice, mammal","x","","","","brain, neuropyschiatric, neurological","","","mice","","","","",""
"63","Role of gender in multiple sclerosis: Clinical effects and potential molecular mechanisms","Greer",2011,"review","","","","x","","","","multiple sclerosis, ms, immune, nervous system","","","","","","","",""
"64","The Genomics of Turner Syndrome and Sex-Biased Neuropsychiatric Disorders","Lynn",2011,"review","","","","","","","","turner syndrome, neuropsychiatric, ts","","","","","","","",""
"65","SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism","Beaudet",2017,"experiment","SLC6A14","","","x","","xci","","brain, brain carnitine deficiency, autism, infant, paediatric","","","","","","","",""
