"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"11","Skewed X-chromosome inactivation is associated with trisomy in women ascertained on the basis of recurrent spontaneous abortion or chromosomally abnormal pregnancies","beever",2003,"study","","","","","","xci (extremely skewed), trisomy","","recurrent spontaneous abortion","","","evaluation of 207 women who experienced RSA with skewed xci vs without","","","","",""
"12","Androgen receptor-deficient Tfm cells in the mosaic epididymis of sex-reverse mice heterozygous for Tfm: An autoradiographic stuy with 3H -dihydrotestosterone and 3H -estradiol","drews",1988,"","some gene mutation","","","","","mosaicism by random xci, Tfm mutation by sxr","androgen insensitivity of target cells, cells in the epididymus","testicular feminization","","","thaw-mount autoradiography, mice","","","","",""
"13","Detection of a novel unbalanced X;21 translocation in a girl with Turner syndrome phenotype","kouvidi",2021,"case study","X;21","","","","","gene translocation leading to pseudodicentric X;21","","turnder syndrome phenotype, ovarian development and function","","","cytogenic analysis, HUMARA assay, methylation studies","","","","",""
"14","Rethinking rare disease: longevity-enhancing drug targets through X-linked aneuploidy","taylor-king",2022,"","","","","x","","","","complex disease, age","","","mendelian randomisation-inspired analysis","i think","","x","",""
"15","Prenatal sex differentiation: genetic and hormonal control","lenz",1974,"review","","","","","","xci","","sex organs, x-linked conditions","","","","","","x","",""
"16","Gpbox (Psx2), a homeobox gene preferentially expressed in female germ cells at the onset of sexual dimorphism in mice","takasaki",2000,"study","GPBOX, Pem, Psx1","","?","","","","","oogenesis","","","mass excision and isolation of plasmid DNA","","","","",""
"17","The role of sex in the genomics of human complex traits","khramtsova",2019,"review","","","","x","","","","complex traits","","","","","","","",""
"18","Quantitative measurement of transcript levels throughout human preimplantation development: Analysis of hypoxanthine phosphoribosyl transferase","taylor",2001,"study, method proposal","","","","","","HPRT expression","unfertilized oocyte","preimplantation development","","","development of competitive reverse transcription-polymerase chain reaction","","","","",""
"19","A cytogenetic study directly from chorionic villi of 140 spontaneous abortions","eiben",1987,"study","","?","","","","abnormal karyotypes (trisomy, polyploidy, etc), possible xci","","spontaneous abortions, fetus","","","conventional tissue cultures, analyzing chromosomes directly from chorionic villi","","","","",""
"20","X-inactivation in female human iPSCs - A tool for research on brain development","kaseberg",2018,"study","MID1, FGF2","","","","","xci, exci, frameshift mutation","iPSCs","brain developent","","","""We planned to use these cells as isogenic controls and differentiate them into NPCs and neurons, to get a better understanding of Opitz BBB/G syndrome""","","","","",""
"21","Down's syndrome in the male. Reproductive pathology and meiotic studies","johannisson",1983,"case study","","","","","","trisomy chr21 ","testicular histology","down's syndrome, spermatogensis, reproductive function","","","light/electron microscopy","","","","",""
"22","Gender specific issues in hereditary ocular disorders","iragavarapu",2015,"review","","","","x (gender)","","","","hereditary ocular disorders","","","","","","","",""
"23","Spermine synthase (SMS), a placenta specific x chromosome inactivation (XCI) escapee, mediates sex-differences in placental mitochondrial function","aye",2019,"experiment","","","","x","","exci (placental specific), regulation by spermine synthase, polyamine and mitochondrial metabolism interaction","primary human trophoblast cells","pregnancy","fetal sex differences","","polyamines and tricarboxylic acid cycle intermediates were measured, cell isolations, RNAseq, western blots. linear regression analyses, gene set enrichment analysis","","","","","female placenta has unique profile of genes that exci"
"24","Editorial: Sexual Dimorphism of the Immune Inflammatory Response in Infectious and Non-infectious Diseases","chamekh",2019,"editorial","","","","","","inflammatory response","","infectious, non-infectious diseases","","","","","","","",""
"25","Female-biased embryonic death from inflammation induced by genomic instability","mcnairn",2019,"experiment","MCM loci","","","","","genetic instability, mutations in heterohexameric minichromosome maintenance complex, NOT xci, ""maleness""","","embryo lethality","female mouse embryos","","","","","","",""
"26","Sexually Dimorphic Gene Expression in Bovine Conceptuses at the Initiation of Implantation","forde",2016,"study","","","","","","xci, transcript abundance","","cattle pregnancy","","","","","","","x","cattle"
"27","Haldane's rule in the placenta: Sex-biased misregulation of the Kcnq1 imprinting cluster in hybrid mice","arevalo",2021,"study","Kcnq1 cluster","","","","","inviability in mammalian hybrids, misregulation of imprinted genes, haldane's rule","","parent-of-origin placental growth abnormalities","","hypermethylation","mouse hybrids","","","","",""
"28","Imprinted and X-linked non-coding RNAs as potential regulators of human placental function","buckberry",2014,"review","noncoding RNAs","x","","","","","","pregnancy","placental development","","","","","","",""
"29","SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism","beaudet",2017,"study","SLC6A14","","","x","","brain carnitine deficiency, exci","","autism","","","observation of carnitine across blood brain barrier in mice","","","","",""
"30","Approaching sex differences in cardiovascular non-coding rna research","jusic",2020,"review","","","","","","non-coding RNAs ","","cardiovascular disease","","","","","","","",""
"31","Cell-type and fetal-sex-specific targets of prenatal alcohol exposure in developing mouse cerebral cortex","salem",2021,"study","Bck11a, Htt, Ctnnb1, and other upstream regulators","","","","","differentially expressed genes, neural loss of xci and correlated activation of autosomal genes, evidence for spliceosome dysfunction","murine fetal cerebral cortical cells","prenatal alcohol exposure","","","single-cell rnaseq on murine fetal cerebral cortical cells from six timed pregnancies","","","","",""
"32","Expression of X chromosome-linked TLR4 signalling molecules in female versus male neonatal cord blood","o-driscoll",2016,"study","TL4 signaling genes (IKBKG/NMO, IRAK1, BTK)","","","x","","TLR4 pathway, exci","","neonatal morbidity and mortality","embyrogenesis","","quantify expression of x-linked TLR4 signalling intermediates in umbilical cord blood from term female v male neonates, rna isolation, cDNA synthesis, qRT-PCR","","","","",""
"33","Preferential X Chromosome Inactivation as a Mechanism to Explain Female Preponderance in Myasthenia Gravis","nicoli",2022,"study","","","","x","","xci","","mysenthia gravis, neuromuscular autoimmune disease","","","xci analysis of blood samples of 284 women, human androgen receptor assay","","","","","not sure how they determined preferential xci in women when they don't test for men"
"34","Wild mice with different social network sizes vary in brain gene expression","lopes",2020,"experiment","","","","","","","","animal fitness","","","automated recording of social interactions of wild house mice outside of breeding size, rnaseq","","","","x",""
"35","X-chromosome genetic association test incorporating X-chromosome inactivation and imprinting effects","liu",2019,"method proposal","","","","x","","xci, genomic imprinting ","","complex diseases","","","propose novel association test simultaneously incorporating xci and impriinting effects based on cse-patient trios and control-parent trios.... etc etc","","","","",""
"36","Autism-like behaviors in male mice with a Pcdh19 deletion","lim",2019,"experiment","PCDH19","","","","","","","efmr, autism-like phenotypes","","","knockout mouse model","","","","",""
"37","Inflammatory cytokine storms severity may be fueled by interactions of micronuclei and RNA viruses such as COVID-19 virus SARS-CoV-2. A hypothesis","kirsch-volders",2021,"review","","","","","","rna virus","","chromosomal instability, micronuclei, immune response","","","","","","x","",""
"38","X-linked genes and risk of orofacial clefts: Evidence from two population-based studies in Scandinavia","jugessur",2012,"method poposal, study","","","","x","","","","orofacial clefts","","","","","","","","""We added new functionalities in the HAPLIN statistical software to enable association analysis of X-linked markers and an exploration of various causal scenarios relevant to orofacial clefts."""
"39","Sex differences are here to stay: Relevance to prenatal care","inkster",2021,"review","","","","x","","","","perinatal complications","","","","","","","",""
"40","Y chromosome is moving out of sex determination shadow","heydari",2022,"review","","","","","","chrY activities","","male specific diseases","","","","","","","",""
"41","LncRNA Xist may regulate Th17 cell differentiation through TDP43-IRF3 pathway in neuromyelitis optica spectrum disorders","guo",2022,"study, hypothesis proposal","TDP43","","","","","""xist-related pathway""; xci","peripheral blood mononuclear cell","neuromyelitis optica spectrum disorder, nmsod","","","blood cell analysis?","","","","",""
"42","Placental polyamine metabolism differs by fetal sex, fetal growth restriction, and preeclampsia","gong",2018,"study","spermine synthase, DiAcSpm","","","x","","exci","primary trophoblast cells, ""male cells""","preeclampsia and fetal growth restriction, prenatal and infant deaths","","","pregnancy outcome preidction study","","","","",""
"43","Identification of Novel Markers of Mouse Fetal Ovary Development","cheng",2012,"study","identified certain protwins and non-coding genes (Lrrc34, AK015184)","","","","","","","fetal ovarian development","","","","","","","",""
"44","The acid-base balance and gender in inflammation: A mini-review","casimir",2018,"review","","","","x","","","","acidosis, inflammatry diseases","","","","","","","",""
"45","NIMA-related kinase 1 (NEK1) regulates meiosis I spindle assembly by altering the balance between alpha-Adducin and Myosin X","brieno-enriquez",2017,"study","NEK1, ADD1, MYO10","","","","","gene mutations, meiotic spindle formation","","anemia, polycystic kidney, infertility","","","","","","","x",""
"46","Sex at the interface: the origin and impact of sex differences in the developing human placenta","braun",2022,"review","","","","x","","","","fetal growth, early human placenta","","","","","","","",""
"47","Multiscale analysis of SRY-positive 46,XX testicular disorder of sex development: Presentation of nine cases","alkar",2020,"study","","","","","","gene translocation","","46, xx testicular disorder of sex development","","","clinical findings of six patients with disorder","","","","",""
"48","The single active X in human cells: Evolutionary tinkering personified","migeon",2011,"hypothesis proposal","","","mammals","","","","","dosage compensation","","","","","","","","focusing on the activated x versus the inactivated one"
"49","Sex difference in methylation of single-copy genes in human meiotic germ cells: Implications for X chromosome inactivation, parental imprinting, and origin of CpG mutations","driscoll",1990,"experiment","HPRT, G6PD, P3, PGK, GLA, X-linked F9, autosomal EPO","","","x","","","chrX reactivation","female germ cells","","methylation status, patterns","examined human fetal ovaries at developmental stages from meiosis initiation to DNA synthesis; analyzed 57 MsPI sites from five x-linked housekeeping genes and two tissue specific geenes","","","","",""
"50","Sexual epigenetic dimorphism in the human placenta: Implications for susceptibility during the prenatal period","martine",2017,"study","","x","","x","","","","infant","","placental DNA methylation","placental DNA methylation assessed at over 480k CpG sites from male/female infants in extremely low gestational age newborns cohort","","","","",""
"51","Preferential X inactivation in human placenta membranes: Is the paternal X inactive in early embryonic development of female mammals?","ropers",1978,"","G6PD","","x","","","xci, preferential expression of maternal allele","","female embryonic development","","","","","","","","marsupials, rodents, humans"
"52","Sex difference in neural tube defects in p53-null mice is caused by differences in the complement of X not Y genes","chen",2008,"study","Trp53","","","x","","chrX number differences","","neural tube defects","","","examined Trp53-null C57BL/6 mouse embryos, neonates, and at birth","","","","",""
"53","Oculo-Facio-Cardio-Dental Syndrome: Skewed X Chromosome Inactivation in Mother and Daughter Suggest X-linked Dominant Inheritance","hedera",2003,"case study","","","","","","xci, (determining whether or not OFCD is) X-linked dominant","","oculo-facio-cardio-dental syndrome, ofcd","","","case study of mother and daughter who were diagnosed with OFCD","","","","",""
"54","A longitudinal study of epigenetic variation in twins","chung",2010,"study","DRD4, SLC6A4/SERT, MAOA","","","","","dna methylation, xci","","disease susceptibility","","DNA methylation","quantitatively measured DNA methylation across the promoter regions of specific genes in twin pairs","","","","",""
"55","A systematic review and meta-analysis of 271 PCDH19-variant individuals identifies psychiatric comorbidities, and association of seizure onset and disease severity","kolc",2019,"review","PCDH19","","","","","gene mutations","","epilepsy and mental retardation limited to females, eemr","","","","","","","",""
"56","Sexually dimorphic duct system of the submandibular gland in mouse with testicular feminization mutation (Tfm/Y)","sawada",1992,"study","Tfm/Y","","","","","","","androgen insensitivity, sexual dimorphic development","","","""The aim of this study was to examine sexually dimorphic development of the submandibular gland of Tfm/Y mutant mice in comparison with those of wild-type male, wild-type female and heterozygous Tfm female mice""","","","","",""
"57","X-linked dominant ichthyosis","happie",1979,"review","","","","","","","","icthyosis","","","","","","x","",""
"58","X inactivation patterns in two syndromes with probable X-linked dominant, male lethal inheritance","wieracker",1985,"experiment","","","","x (probably)","","xci","","incontinentia pigmenti bloch-sulzberger syndrome, aicardi syndrome","","","","","","","",""
"59","Whole arm translocation t(1;13) in an infertile man","moreau",1984,"case study","","","","","","autosomal rearrangements, xci","","male sterility","","","","","","","",""
"60","The pseudoautosomal regions, SHOX and disease","blascke",2006,"review","SHOX","PAR","","","","","","exci","","","","","","","",""
"61","Contributing factors in multiple sclerosis and the female sex bias","khalid",2014,"review","","","","x","","","","autoimmune disease, multiple sclerosis, ms","","","","","","","",""
"62","Sexual dimorphism in interferon-tau production by in vivo-derived bovine embryos","kimura",2004,"study","","","","x","","","interferon-tau, blastocysts","cattle pregnancy","bovine embryos","","""In the present study, we have examined whether sexually dimorphic production of IFN-tau, which is observed among IVP blastocysts, also occurs among in vivo-produced blastocysts, and whether this difference between the sexes persists to day 14 when silencing of one of the X-chromosomes in the trophectoderm is complete""","","","","",""
"63","Sex-dependent insulin like growth factor-1 expression in preattachment equine embryos","beckelmann",2013,"study","","","","x","","different growth factors (insulin like growth factor, IGF-1), xci","","embryo survival","male horse embryos","","""nsulin like growth factor-1 mRNA expression of in vivo-produced equine embryos on different days of pregnancy (Day 8, N = 6; Day 10, N = 8; Day 12, N = 14) was analyzed""","","","","","horses"
"64","Prenatal sex differentiation: genetic and hormonal control","lenz",1974,"","","","","sex differentiation","","","","prenatal sex differentiation","","","","","","","",""
"65","Gpbox (Psx2), a homeobox gene preferentially expressed in female germ cells at the onset of sexual dimorphism in mice","takasaki",2000,"experiment","Gpbox","","","","","","","mammalian oogenesis","","","""To identify early markers of oogenesis, sex-specific urogenital ridge cDNA libraries were constructed from E12-13 embryos""","","","","",""
"66","Akodon sex reversed females: The never ending story","bianchi",2002,"experiment","","","","","","extreme dosage compensation (xci)","","fertile a. azare females ","","","C-banding, positive testing","","","","",""
"67","Changes in sex ratio from fertilization to birth in assisted-reproductive-treatment cycles","tarin",2014,"review","","","","","","xci","","sex ratio","","","""we aim to estimate the sex ratio at fertilization and implantation using data from embryos generated by standard in-vitro fertilization (IVF) or intracytoplasmic sperm injection (ICSI) in preimplantation genetic diagnosis cycles""","","","","",""
"68","The disparate maternal aunt-uncle ratio in male transsexuals: an explanation invoking genomic imprinting","green",2000,"study","","","","","","","xci/exci","sex ratio","","","","","","","","hmmmm..."
"69","X inactivation as a source of behavioural differences in monozygotic female twins","loat",2004,"experiment","","","","","","xci","","differential gene expression in monozygotic twins","","","""We tested this hypothesis using data from around 4000 same-sex twin pairs on 9 social, behavioural and cognitive measures at ages 2, 3 and 4""","","","","",""
"70","Individuality and Variation of Personal Regulomes in Primary Human T Cells","qu",2015,"study","","","","x","","exci","CD4+ T cells","gene regulation","","","""we survey variation and dynamics of active regulatory elements genome-wide using longitudinal samples from human individuals""; atac-seq","","","","",""
"71","Sex differences in brain expression of X- and Y-linked genes","xu",2006,"","","","","x","","exci, differential gene expression","","brain development and function","","","","","","","",""
"72","Epigenetic Contribution to Sex Differences in Brain and Behavior","auger",2017,"","","","","x","","","","brain and behavior","","x","","","","","",""
"73","Synteny and regional marker order assignment of 26 type I and microsatellite markers to the horse X- and Y-chromosomes","Shiue",2000,"experiment","ZFX, ZFY, SRY, STS-X, CLCN4, ALAS2, XIST, F9, BGN, F18, G6PD","","placental mammal, horse","","","","horse mouse somatic cell hybrid","gene conservation","","","FISH","","","","",""
"74","Functional analysis of sex-determination genes by gene silencing with LNA-DNA gapmers in the silkworm, Bombyx mori","Sakai",2015,"experiment","Imp(M), Bmdsx, Masc","","silkworm","","","Fem","","sex determination","","","gene knockdown","","","x","",""
"75","Women and Alport syndrome","Rheault",2012,"review","","","","","","XCI skewing","","x-linked alport syndrome, xlas, renal disease, esrd","","","","","","","",""
"76","Differential increase of steroid sulfatase activity in XX and XY trophoblast cells from human term placenta with syncytia formation in vitro","Ugele",2000,"experiment","STS","","","","","exci, cytotrophoblast system","","sts, gene expression","","","placenta cells","","","","",""
"77","Regulatory and evolutionary signatures of sex-biased genes on both the X chromosome and the autosomes","Shen",2017,"analysis","sDEG, sex-biased differentially expressed genes","","","x","","exci","","disease response","","","gene expression","","","","",""
"78","X-autosome translocations, meiotic synapsis, chromosome evolution and speciation","Ashley",2002,"review","","translocation","mammals","","","meiosis","","sterility","","","","","","","",""
"79","Rheumatic diseases and Klinefelter's syndrome","Rovensky",2006,"review","","","","","","","","klinefelter's syndrome, ks","","","case study, large population study","","","","",""
"80","Autoimmunity and Klinefelter's syndrome: when men have two X chromosomes","Sawalha",2009,"review","CD40L, Xq28","","","x","","xci, exci","","autoimmune, klinefelter's syndrome, ks, sle, turner's syndrome","","","","","","","",""
"81","The omniscient placenta: Metabolic and epigenetic regulation of fetal programming","Nugent",2015,"review","OGT","","","","","hypothalamic pituitary adrenal axis, HPA","","pregnacy, neurological, prenatal stress, neurodevelopment","","","","","","","",""
"82","Gene regulatory mechanisms underlying sex differences in brain development and psychiatric disease","Manoli",2018,"review","","","","x","","mutations, sex hormone receptors","","brain, psychiatic disease, neurological, nervous system, neuropsychiatric","","","","","","","",""
"83","Analysis of Parent-of-Origin Effects on the X Chromosome in Asian and European Orofacial Cleft Triads Identifies Associations with DMD, FGF13, EGFL6, and Additional Loci at Xp22.2","Skare",2018,"analysis","DMD, FGF13, EGFL6, Xp22.2","","","x","","","","orofacial clefts, ofcs","","","GWAS","","Asian, European","","",""
"84","The female protective effect in autism spectrum disorder is not mediated by a single genetic locus","Gockley",2015,"analysis","","","","x","","exci","","autism, asd","","","association study","","","","",""
"85","Nonhormonal explanations for sex discrepancy in human illness: Annals of the New York Academy of Sciences","Lockshin",2010,"review","","","","x","","","","autoimmune, pregnacy","","","","","","probs","",""
"86","Sex bias in paediatric autoimmune disease - Not just about sex hormones?","Chiaroni-Clarke",2016,"review","","","","x","","","","autoimmune, juvenile idiopathic arthritis, jia, paediatric","","","","","","","",""
"87","Review: Sexual dimorphism in the formation, function and adaptation of the placenta","Kalisch-Smith",2017,"study","","","","x","","","","fetal growth","placetal growth","","rodent","","","","",""
"88","Role of gender in multiple sclerosis: Clinical effects and potential molecular mechanisms","Greer",2011,"review","","","","x","","","","multiple sclerosis, ms, immune, nervous system","","","","","","","",""
"89","Sex differences in the late first trimester human placenta transcriptome","Gonzalez",2018,"analysis","","","","x","","","","pregnacy","placenta","","RNAseq","","","","",""
"90","The Genomics of Turner Syndrome and Sex-Biased Neuropsychiatric Disorders","Lynn",2011,"review","","","","","","","","turner syndrome, neuropsychiatric, ts","","","","","","","",""
"91","SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism","Beaudet",2017,"experiment","SLC6A14","","","x","","xci","","brain, brain carnitine deficiency, autism, infant, paediatric","","","","","","","",""
"92","Approaching sex differences in cardiovascular non-coding rna research","Jusic",2020,"review","","ncRNAs","","x","","","","cardiovascular, cvd","","","","","","","",""
