"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"39","The phenotypic consequences of MECP2 mutations extend beyond Rett syndrome","hammer",2002,"","MECP2","","","","","xci","","rett syndrome","","","","","","","",""
"40","X chromosome-specific cDNA arrays: identification of genes that escape from X-inactivation and other applications","sudbrak",2001,"study","","","","","","expression differences, other gene defects","","monogenic disorders","","","generation of chrX specific microarrary w/ 2k cloned cDNA fragments, hybridization probe","","","","",""
"41","The mouse as a model of fundamental concepts related to Turner syndrome","arnold",2019,"","x genes?","","","","","gene dosage","","turner syndrome","","","mice models (XO mice)","","","","",""
"42","X-linked dermatoses","happle",1982,"","","","","","","xci, exci","","x-linked recessive ichthyosis, x-linked disorders","","","","","","","",""
"43","TLR7 escapes X chromosome inactivation in immune cells","souyris",2018,"experiment","TLR7","","","x","","xci, exci, biallelism","primary B lymphocytes, monocytes, plasmacytoid","sle, klinefelter","","","single-cell analysis ","","","","",""
"44","Spinal muscular atrophy: Broad disease spectrum and sex-specific phenotypes","singh",2021,"review","SMN1, SMN2","","","x","","deletions, mutation","","spinal muscular atrophy","","","","","","","",""
"45","No evidence for preferential X-chromosome inactivation as the main cause of divergent phenotypes in sisters with X-linked hypohidrotic ectodermal dysplasia","korber",2021,"study","","","","maybe","","","","x-linked hypohidrotic ectodermal dysplasia ","","","study of six families, xi pattern determination in androgen receptor assay","","","","",""
"46","Inflammatory cytokine storms severity may be fueled by interactions of micronuclei and RNA viruses such as COVID-19 virus SARS-CoV-2. A hypothesis","kirsch-volders",2021,"review","","","","","","rna virus","","chromosomal instability, micronuclei, immune response","","","","","","x","",""
"47","Variation in TAF1 expression in female carrier induced pluripotent stem cells and human brain ontogeny has implications for adult neostriatum vulnerability in X-linked Dystonia Parkinsonism","d'ignazio",2022,"study","TAF1","","","","","","","x-linked dystonia-parkinsonism","","","resource for disease modeling; characterized 8 iPSCs lines...","","","","",""
"48","NIMA-related kinase 1 (NEK1) regulates meiosis I spindle assembly by altering the balance between alpha-Adducin and Myosin X","brieno-enriquez",2017,"study","NEK1, ADD1, MYO10","","","","","gene mutations, meiotic spindle formation","","anemia, polycystic kidney, infertility","","","","","","","x",""
"49","Pseudoautosomal Region 1 Overdosage Affects the Global Transcriptome in iPSCs From Patients With Klinefelter Syndrome and High-Grade X Chromosome Aneuploidies","astro",2022,"study","","","","","","aneuploidy, dosage-dependent transcriptional dysregulation, xci, x-dosage sensitive autosomal transceiption factor","iPSCs","klinefelter","","","single-cell resolution","","","","",""
"50","Sex Differences in an Fmr1 Knock-out Mouse Model of Fragile X Syndrome","armstrong",2020,"experiment","FMR1","","","x","","xci","","fragile x","","","Fmr1 knockout mice","","","","",""
"51","Multiscale analysis of SRY-positive 46,XX testicular disorder of sex development: Presentation of nine cases","alkar",2020,"study","","","","","","gene translocation","","46, xx testicular disorder of sex development","","","clinical findings of six patients with disorder","","","","",""
"52","Mapping of a further locus for X-linked craniofrontonasal syndrome","wieland",2002,"analysis","CFNS locus on Xp22","","","not significant (surprising)","","xci, metabolic interference, exci","","craniofrontonasal syndrome","","","halotype analysis","","","","",""
"53","Oculo-Facio-Cardio-Dental Syndrome: Skewed X Chromosome Inactivation in Mother and Daughter Suggest X-linked Dominant Inheritance","hedera",2003,"case study","","","","","","xci, (determining whether or not OFCD is) X-linked dominant","","oculo-facio-cardio-dental syndrome, ofcd","","","case study of mother and daughter who were diagnosed with OFCD","","","","",""
"54","Deletions in Xq26.3-q27.3 including FMR1 result in a severe phenotype in a male and variable phenotypes in females depending upon the X inactivation pattern","wolff",1997,"family case study","FMR1, Xq26.3-q27.3","","","","","cytogenetic deletion","","fragile x, intellectual, neurological development","","methylation analyses","case studies  of two families","","","","",""
"55","X-inactivation and human disease: X-linked dominant male-lethal disorders","franco",2006,"","","","","","","xci","","oral-facial-digital type i, micropthalmia, linear skin-defects syndromes","","","discussion of mouse models","","","","",""
"56","Abnormal methylation does not prevent X inactivation in ICF patients","bourc'his",1999,"experiment","","","","","","dna undermethylation, xci, cpg island methylation","","icf syndrome","","dna undermethylation","""Here we show that CpG island methylation is abnormal in some ICF patients but in other ICF patients, the difference in methylation pattern between Xi and Xa (active X) is maintained...""; dna methylation in icf syndrome has little consequence on...","","","","",""
"57","The impact and management of Turner's syndrome in adult life","conway",2002,"op-ed","","","","","","","","turner's syndrome","","","","x","","","",""
"58","X inactivation patterns in two syndromes with probable X-linked dominant, male lethal inheritance","wieracker",1985,"experiment","","","","x (probably)","","xci","","incontinentia pigmenti bloch-sulzberger syndrome, aicardi syndrome","","","","","","","",""
"59","The Interplay of Non-coding RNAs and X Chromosome Inactivation in Human Disease","russo",2018,"review","","","","","","xci","ncRNAs, XIST","gastric cancer, gall bladder cancer, genetic pathologies, klinefelter's","","","","","","","",""
"60","Genes that escape from X-chromosome inactivation: Potential contributors to Klinefelter syndrome","navarro-corbos",2020,"review","highlight some genes","","","","","xci, exci","","klinefelter's","","","","","","","",""
"61","Mechanisms of disease: Neurogenetics of MeCP2 deficiency","francke",2006,"","MECP2","","","","","xci","","rett syndrome","","","","","","","",""
"62","Prenatal sex differentiation: genetic and hormonal control","lenz",1974,"","","","","sex differentiation","","","","prenatal sex differentiation","","","","","","","",""
"63","Adrenoleukodystrophy in female heterozygotes: underrecognized and undertreated","jangouk",2012,"review","ABCD1","","","x","","gene mutations, fatty chain alterations","","x-linked adrenoleukodystrophy","","","","","","","",""
"64","A new form of hypertrichosis inherited as an X-linked dominant trait","macias-flores",1984,"case study","","","","","","","","congenital generalized hypertrichosis","","","","","","","",""
"65","IPEX and FOXP3: Clinical and research perspectives","wildin",2005,"","FOXP3","","","x","","xci","T cells","ipex syndrome","","","","","","","",""
"66","The origin and evolution of vertebrate sex chromosomes and dosage compensation","livernois",2012,"review","","","x (amniotes)","x","","dosage insensitivity","","sex chromosome function","","","","","","","",""
"67","Women and Alport syndrome","Rheault",2012,"review","","","","","","XCI skewing","","x-linked alport syndrome, xlas, renal disease, esrd","","","","","","","",""
"68","Sex-biased and parental allele-specific gene regulation by KDM6A","Ma",2022,"experiment","KDM6A","","","x","","","","kabuki syndrome","","","gene knockdown","","","","",""
"69","Rheumatic diseases and Klinefelter's syndrome","Rovensky",2006,"review","","","","","","","","klinefelter's syndrome, ks","","","case study, large population study","","","","",""
"70","Autoimmunity and Klinefelter's syndrome: when men have two X chromosomes","Sawalha",2009,"review","CD40L, Xq28","","","x","","xci, exci","","autoimmune, klinefelter's syndrome, ks, sle, turner's syndrome","","","","","","","",""
"71","The Genomics of Turner Syndrome and Sex-Biased Neuropsychiatric Disorders","Lynn",2011,"review","","","","","","","","turner syndrome, neuropsychiatric, ts","","","","","","","",""
