"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"11",324,"Nephrogenic syndrome of inappropriate antidiuresis in adults: High phenotypic variability in men and women from a large pedigree",2007,"Journal of the American Society of Nephrology","Decaux, G. and Vandergheynst, F. and Bouko, Y. and Parma, J. and Vassart, G. and Vilain, C.","Nephrogenic syndrome of inappropriate antidiuresis (NSIAD) is a recently described genetic cause of hyponatremia in male infants. Whether this X-linked condition could be detected in the adult or also could affect women is unknown. A large five-generation family was identified in which the recently described arginine-vasopressin receptor type 2 (AVPR2) mutation that is responsible for NSIAD was segregated. The proband was a 74-yr-old patient who had a syndrome of inappropriate antidiuresis and whose hyponatremia resisted administration of two AVPR2 antagonists. The phenotype of family members who carry the mutation was investigated. Patients with normal serum sodium were subjected to a water-load test. The previously reported activating missense R137C mutation in the AVPR2 gene in three hemizygous male and four heterozygous female individuals was identified. Except in one woman, spontaneous episodes of hyponatremia or abnormal water-load test were identified in all patients with the mutation, whether male or female. Skewed X inactivation was evidenced in the blood of the asymptomatic woman, which is compatible with preferential inactivation of her mutated allele. NSIAD is not limited to male infants. The diagnosis also should be considered in both male and female adults. Copyright © 2007 by the American Society of Nephrology.","experiment","AVPR2","","","","","nephrogenic syndrome of inappropriate antidiuresis, hyponatremia","","pedigree","","","","maybe good for background. discuss the new diseases with sex bias?"
"12",328,"A novel missense mutation of NSDHL in an unusual case of CHILD syndrome showing bilateral, almost symmetric involvement",2002,"Journal of the American Academy of Dermatology","König, A. and Happle, R. and Fink-Puches, R. and Soyer, H. P. and Bornholdt, D. and Engel, H. and Grzeschik, K. H.","The CHILD syndrome (MIM 308050), an acronym for congenital hemidysplasia with ichthyosiform nevus and limb defects, is an X-linked dominant trait with lethality for male embryos. Recently, we elucidated the underlying gene defect by demonstrating point mutations in NSDHL (NAD[P]H steroid dehydrogenase-like protein) at Xq28 in 6 patients with classic CHILD syndrome. The most striking clinical feature is an inflammatory nevus that usually shows a unique lateralization with strict midline demarcation. Ipsilateral defects involve all skeletal structures and internal organs such as the brain, the lung, the heart, or the kidney. As an exception to this rule, in some cases the CHILD nevus may occur in a more or less bilateral distribution. In 1997 Fink-Puches et al described a case of CHILD nevus with an almost symmetric arrangement. To test the correctness of the diagnosis, we now examined blood lymphocytes of this patient by single-strand conformation analysis and genomic sequencing. We identified a novel missense mutation in NSDHL that potentially may impair protein function. We conclude that a diagnosis of CHILD syndrome can be based on clinical features such as the highly characteristic morphology of the CHILD nevus. A symmetric distribution of this nevus can exceptionally be seen in patients with CHILD syndrome, and this bilateral involvement should not mislead the clinician to any other diagnosis. Apparently, the effect of random X-inactivation is responsible for different patterns of cutaneous involvement in female carriers of NSDHL mutations.","experiment","NSDHL","","","","mosaicism","congenital hemidysplasia","","","","x","",""
"13",331,"General implications for CpG hot spot mutations: Methylation patterns of the human iduronate-2-sulfatase gene locus",2004,"Human Mutation","Tomatsu, S. and Orii, K. O. and Bi, Y. and Gutierrez, M. A. and Nishioka, T. and Yamaguchi, S. and Kondo, N. and Orii, T. and Noguchi, A. and Sly, W. S.","The methylation pattern at CpG sites of a housekeeping gene correlates with the likelihood of mutation. Mucopolysaccharidosis (MPS) type 11, an X-linked disorder, results from the deficiency of iduronate-2-sulfatase (IDS). In these patients, over 35% of independent point mutations at the IDS gene locus were found at CpG sites as transitional events. To gain insight into the relationship between methylation status and CpG hot spot mutations, we investigated patterns of cytosine methylation in the entire IDS gene, except for introns 4-8. Bisulfite genomic sequencing was performed on the normal leukocyte DNA. Our data show that: 1) cytosine methylation at the CpG sites was extensive, except for those present from the promoter region to a portion of intron 3; 2) a sharp boundary of methylated-nonmethylated regions was observed at the 5'-flanking region, whereas a gradual change in methylation was observed in the 2.0-kb segment in the 3'-flanking region; 3) the boundary of the 5'-flanking region contained multiple Sp1 sites and the TATA box; 4) the CpG sites in exons 1 and 2 were hypomethylated and were associated only with rare transitional mutations, while the CpG sites in exon 3 were also hypomethylated, yet were associated with a high rate of transitional mutations; 5) there was no striking sex difference in the methylation patterns in active alleles; and, 6) the methylation in both strands was symmetrical, except at the boundary of methylated-unmethylated regions. (C) 2004 Wiley-Liss, Inc.","experiment","IDS","","","","","mucopolysaccharidosis","CpG islands","Bisulfite genomic sequencing","","x","","""there was no striking sex difference in the methylation patterns in active alleles"""
"14",348,"Postzygotic mutation and germline mosaicism in the otopalatodigital syndrome spectrum disorders",2006,"European Journal of Human Genetics","Robertson, S. P. and Thompson, S. and Morgan, T. and Holder-Espinasse, M. and Martinot-Duquenoy, V. and Wilkie, A. O. M. and Manouvrier-Hanu, S.","The otopalatodigital syndrome (OPD) spectrum disorders are a heterogeneous group of skeletal dysplasias caused by mutations in the X-linked gene, FLNA. All OPD spectrum disorders (otopalatodigital syndromes types 1 and 2, frontometaphyseal dysplasia and Melnick-Needles syndrome) exhibit significant interfamilial variability in their expressivity, especially in female subjects. Factors contributing to this may include allelic heterogeneity, variation in the degree of skewing of X inactivation or, conceivably, mosaicism for the underlying causative mutation. We report here monozygotic twin sisters who are discordant for the severe phenotype, Melnick-Needles syndrome, associated with the heterozygous mutation, 3596C>T. We also describe two brothers with otopalatodigital syndrome type 1 due to the FLNA mutation 620G>A. The mutation is not detectable in the blood leucocytes of their clinically unaffected mother, indicating that she is a germline mosaic for the condition. The description of somatic mutations and germline mosaicism in FLNA has implications for clinical and molecular diagnosis, phenotypic expression and genetic counseling of families with these disorders. © 2006 Nature Publishing Group All rights reserved.","experiment","FLNA","","","","mosaicism","otopalatodigital syndrome, skeletal dysplasias","","case study","","","x",""
"15",362,"Duchenne muscular dystrophy in one of monozygotic twin girls",1986,"Journal of Medical Genetics","Burn, J. and Povey, S. and Boyd, Y. and Munro, E. A. and West, L. and Harper, K. and Thomas, D.","Monozygotic twin girls are reported, one of whom has the typical clinical features of Duchenne muscular dystrophy despite a normal female karyotype. Although certain features of the biopsy were atypical, the clinical diagnosis was supported by persistent markedly raised blood creatine kinase levels and findings typical of DMD on electromyography and magnetic resonance spectroscopy. Analysis of X linked DNA polymorphism in 16 independent somatic cell hybrids made between cells derived from each girl and a mouse line suggest that in one twin only the maternal X chromosome is active, whereas in the other the active X was paternally derived. More data are needed to exclude sampling error. These preliminary experimental results support the hypothesis that both girls are heterozygous for Duchenne muscular dystrophy. X inactivation, by chance, resulted in two contrasting cell masses with different active X chromosomes. This segregation was followed by, and may even have resulted in, twinning into a female pair, one normal and one with the full clinical features of the disease.","experiment","","x","","","XCI","duchenne muscular dystrophy","","case study","","x","",""
"16",367,"Muscular dystrophy in girls with X;autosome translocations",1986,"Journal of Medical Genetics","Boyd, Y. and Buckle, V. and Holt, S. and Munro, E. and Hunter, D. and Craig, I.","Twenty known cases of X;autosome translocations with breakpoints at Xp21 associated with Duchenne or Becker muscular dystrophy in girls are reviewed. The variable severity described for different persons may reflect differences in X inactivation or in the nature of the genomic target disrupted. High resolution cytogenetic studies on 12 cases indicate breakpoints on the X chromosome at Xp21.1 or Xp21.2. Translocation chromosomes from several of these cases have been isolated in human/mouse somatic cell hybrids. Molecular heterogeneity in the breakpoint positions has been established by probing DNA from these hybrids with a range of cloned sequences known to be located within, or closely linked to, the Duchenne region. The minimum separation between the most distal and the most proximal breakpoints is 176 kb suggesting that, if a single gene is involved, it must be large. Alternatively, the translocations may affect different genes, or confer alterations to regulatory sequences which operate at a distance.","review","","","","","Translocation","muscular dystrophy","","","","","x",""
"17",379,"G 6PD deficiency in newborns in Algiers",1974,"Nouvelle Revue Francaise d'Hematologie","Richard, F. and Belhani, M. and Colonna, P.","2,802 Algerian newborns were studied for G-6PD deficiency. An incidence of approximately 2% has been established, which is lower than in other Mediteranean populations; the G-6PD deficiency does not seem to be an important factor in severe neonatal jaudice. Calculations showed that the X-chromosome inactivation could occur at a stage near the 4-cell stage.","experiment","","","","","XCI","g-6pd deficiency","","","Algerian","x","",""
"18",380,"Disorders of pyruvate carboxylase and the pyruvate dehydrogenase complex",1996,"Journal of Inherited Metabolic Disease","Robinson, B. H. and MacKay, N. and Chun, K. and Ling, M.","The most common defect associated with deficiency of the pyruvate dehydrogenase (PDH) complex occurs in the E(I) component, specifically due to mutations in the X-linked E(I)α gene. Clinical sequelae of these mutations, which range from severe neonatal lactic acidosis to carbohydrate-sensitive ataxia, can be different in males and females depending on the nature of the mutation and, in the case of females, on the X-inactivation pattern in different tissues. Males have a high representation of missense mutations among the patient cohort, while females are much more likely to have DNA rearrangements, particularly toward the 3' end of the coding sequence of the gene. Missplicing mutations involving exon 6 deletion have been reported, as has a missense mutation conferring true thiamin-responsiveness of the enzyme and the patient's clinical symptoms. Pyruvate carboxylase deficiency, on the other hand, is a true autosomal recessive disease, though it has high occurrences in particular ethnic groups, especially in Algonkian-speaking Amerindians and in Arabs. In the former group the defect is a simple type in which material cross-reactive to pyruvate carboxylase antibody is present in cultured cells (CRM(+ve)). In the latter group, cross-reacting material is rarely present (CRM(-ve)). The CRM(+ve) patients can survive into teenage years with careful supervision, while the CRM(-ve) patients have complications due to hyperammonaemia and dysfunction of the urea cycle and rarely survive beyond 3 months of life.","experiment","E(I)α","","","","","deficiency of the pyruvate dehydrogenase","","","Amerindians, Arabs","x","",""
"19",381,"Familial cases and male cases with MECP2 mutations",2017,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics","Zhang, Q. and Zhao, Y. and Bao, X. and Luo, J. and Zhang, X. and Li, J. and Wei, L. and Wu, X.","This is the first report of Chinese familial cases with Rett syndrome (RTT) or X-linked mental retardation (XLMR). RTT is a neurodevelopmental disorder that almost exclusively affects females. Most RTT cases are sporadic. We have studied eight cases with MECP2 mutations in six Chinese families, including three females and five males with RTT or XLMR. All shared identical MECP2 mutations with their mothers. The three females fulfilled the diagnostic criteria for RTT, while the five males were XLMR. A random X-chromosome inactive (XCI) pattern was seen in all the three female patients and two mothers while a skewed XCI in the rest four mothers. The clinical manifestations and pathogenic gene spectrum between male and female patients were different. The different MECP2 mutations and different XCI pattern may be the determinants of the phenotypic heterogeneity between the family members.","experiment","MECP2","","","","","rett syndrome, neurological","","pedigree","Chinese","x","",""
"20",388,"Symptomatic males and female carriers in a large Caucasian kindred with XIAP deficiency",2015,"J Clin Immunol","Dziadzio, M. and Ammann, S. and Canning, C. and Boyle, F. and Hassan, A. and Cale, C. and Elawad, M. and Fiil, B. K. and Gyrd-Hansen, M. and Salzer, U. and Speckmann, C. and Grimbacher, B.","PURPOSE: X-linked inhibitor of apoptosis (XIAP) deficiency caused by mutations in BIRC4 was originally described in male patients with X-linked lymphoproliferative syndrome type 2 (XLP2). Recent observations have highlighted a critical role of XIAP for the regulation of NOD2 signaling and are probably the molecular basis for increasingly recognized further immune dysregulatory symptoms of XIAP deficient patients, such as inflammatory bowel disease (IBD). We describe a large Caucasian family in which IBD and erythema nodosum (EN) also manifested in female carriers of XIAP mutations. METHODS: Clinical data and laboratory findings including flow cytometric analysis of XIAP protein expression and sequencing of the BIRC4 gene. NOD2 signaling was investigated by determination of TNFα production in monocytes upon L18-MDP stimulation in vitro. RESULTS: The BIRC4 nonsense mutation p.P225SfsX226 was identified as the genetic cause of XIAP deficiency in our family. Surprisingly, clinical symptoms were not restricted to male patients, but also occurred in several female carriers. The most severely affected carrier demonstrated random X-inactivation, leading to a significant expression of mutated XIAP protein in monocytes, and consequently to impaired NOD2 responses in vitro. CONCLUSION: Our report provides further evidence that clinical symptoms of XIAP deficiency are not restricted to male patients. Random X-inactivation may be associated with EN and mild IBD also in female carriers of BIRC4 mutations. Analysis of the X-inactivation pattern reflected by XIAP protein expression can identify such carriers and the analysis of NOD2 signaling by flow cytometry can confirm the functional significance. XIAP expression patterns should be investigated in female patients with a family history of EN and/or IBD.","experiment","BIRC4","","","","random XCI","x-linked inhibitor of apoptosis (xiap) deficiency, erythema nodosum,  inflammatory bowel disease","","","Caucasian","x","",""
