cancer,autoimmune,immune,behavioral,chromosomal,neurological,development,aging,cardiovascular,intellectual,blood,body,stroke,hormonal,infectious,chronic pain,inflammation,metabolic,complex
synovial sarcoma,type 1 diabetes,,psychopathological conditions,linear skin-defects syndromes,serotonin system,neonatal morbitiy and mortalitity,,,,,ichthyosis,,,,,,,
tumor progression,,,psychosis,lubag disease,tau burden,oogenesis,,,,,intrasex variability,,,,,,,
,,,ptsd,MECP2 duplication syndrome,,ovarian development and function,,,,,life expectancy,,,,,,,
,,,schizoaffective psychosis,menkes disease,,parent-of-origin placental growth abnormalities,,,,,juvenile idiopathic arthritis,,,,,,,
,,,self-esteem,monogenic disorders,,pathogenesis,,,,,longevity,,,,,,,
,,,sexual orientation,occipital horn syndrome,,perinatal complications,,,,,microphthalmia,,,,,,,
,,,thrombocyte MAO activity,oculo-facio-cardio-dental syndrome,,placental metabolic dysfunction,,,,,muscle profile,,,,,,,
,,,,oculocerebrocutaneous syndrome,,preimplantation development,,,,,osteoporosis,,,,,,,
,,,,oral-facial-digital type I,,premature ovarian insufficiency,,,,,pectus excavatum,,,,,,,
,,,,polycystic kidney,,prenatal alcohol exposure,,,,,primary sclerosing cholangitis,,,,,,,
,,,,pyruvate dehydrogenase complex deficiency,,prenatal and infant deaths,,,,,progressive adolescent idiopathic sclerosis,,,,,,,
,,,,sex chromosome function,,prenatal sex differentiation,,,,,progressive myelopathy,,,,,,,
,,,,bulbar muscular atrophy,,prenatal stress,,,,,pubertal events,,,,,,,
,,,,spinal muscular atrophy,,recurrent spontaneous abortion,,,,,renal disease,,,,,,,
,,,,turner sydrome,,reproductive function,,,,,response to nanomaterials,,,,,,,
,,,,type 1 HIGM1,,sex determination,,,,,sex organs,,,,,,,
,,,,X-ALD,,sexual dimorphic development,,,,,short stature,,,,,,,
,,,,x-linked adrenoleukodystrophy,,spermatogensis,,,,,speech delay,,,,,,,
,,,,X-linked agammaglobulinemia,,spontaneous abortion,,,,,stress,,,,,,,
,,,,x-linked alport syndrome,,sterility,,,,,susceptibility to UV suppression,,,,,,,
,,,,x-linked conditions,,testicular feminization,,,,,teeth,,,,,,,
,,,,x-linked disal motor neuropathy,,teratozoospermia,,,,,idiopathic sclerosis,,,,,,,
,,,,x-linked hypohidrotic ectodermal dysplasia,,,,,,,,,,,,,,
,,,,x-linked lysosomal storage diorder,,,,,,,,,,,,,,
,,,,x-linked mental deficiency,,,,,,,,,,,,,,
,,,,x-linked recessive ichthyosis,,,,,,,,,,,,,,
,,,,x-linked retinitis pigmentosa,,,,,,,,,,,,,,
,,,,XLAS,,,,,,,,,,,,,,
,,,,XX testicular disorder of sex development,,,,,,,,,,,,,,
