"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"11","No major role for X-inactivation in variations of intelligence and behavioral problems at middle childhood","peerbooms",2010,"study","","","","","","xci","","intelligence, child behvioral problems","","","","","","","","interesting..."
"12","Review of gender differences in core symptomatology in autism spectrum disorders","rivet",2011,"review","","","","x","","","","autism spectrum disorders","","","","","","","",""
"13","Genes known to escape X chromosome inactivation predict co-morbid chronic musculoskeletal pain and posttraumatic stress symptom development in women following trauma exposure","yu",2019,"study ","YY1, xist","","","x","","gene transcripts originating from chrX that contribute to sex diff, xci","","co-morbid chronic muscuoskeletal pain, posttraumatic stress syndroms","","","nested samples from longitudinal studies of african american individuals, blood rnaseq, logistic regression analyses","","","","",""
"14","MAOA and male antisocial behavior: A review","eme",2013,"review","MAOA-L","","","","","","","antisocial behavior","","","","","","","","sorry but this seems like a really silly article... i'm sure we could use genetics to predict for antisocial behavior but (i imagine) much goes into how social you are such as... how you were socialized when you were a child and other environmental factors"
"15","Hypomethylation of MAOA's first exon region in depression: A replication study","melas",2015,"study","MAOA","","","x?","","","","depression","","hypomethylation","small-scale replication study","","","","",""
"16","Gender-specific gene expression in post-mortem human brain: Localization to sex chromosomes","vawter",2004,"study","""Differentially expressed genes between males and females on the Y chromosome (DBY, SMCY, UTY, RPS4Y, and USP9Y) and X chromosome (XIST)""","","","x (gender)","","gene expression, cell types, regional expression","","neuropsychiatric disorders, depression","","","Affymetrix oligonucleotide microarray platform","","","","",""
"17","The general protected invasion theory: Sex biases in parental and alloparental care","reeve",1997,"review","","","","","","""protected invasion theory"" (mutation)","","parental care, alloparental care","","","","","","","",""
"18","Male life-course persistent antisocial behavior: A review of neurodevelopmental factors","eme",2009,"review","","","","","","neurodevelopmental factors","","anti-social behavior","","","","","","","",""
"19","MAOA genotype, family relations and sexual abuse in relation to adolescent alcohol consumption","nilsson",2011,"study","MAOA gene-environment","","","x","","MAOA u-VTNR variant, G*E interaction","","adolescent alchohol consumption","","","survey study, saliva samples, failed MAOA u-variable number of tandem repeats genome anlyses","","","","",""
"20","Testosterone, androgen receptor gene CAG repeat length, mood and behaviour in adolescent males","vermeersch",2010,"study","","","","x","","androgen/testosterone activity, CAG repeat length","","aggressive and non-agressive risk taking, dominance, depressive symptoms, self-esteem","","","data from teenage boys, multivariate general linear modeling ","","","","",""
"21","Analysis of the pseudoautosomal X-linked gene SYBL1in bipolar affective disorder: description of a new candidate allele for psychiatric disorders","saito",2000,"study","sex-linked portion of chrX, Xq28, SYBL1","","","","","father-to-son transmission, xci, SNPs","","bpd","","","single-strand conformation polymorphism analysis, DNA seq analysis","","","","",""
"22","Autism-lessons from the X chromosome","marco",2006,"review","","","","","","aneuploidies, trne, nucleotide mutations","","autism spectrum disorders","","","","","","","",""
"23","Sex difference in Mecp2 expression during a critical period of rat brain development","kurian",2007,"study","MeCP2","","","","","expression levels","","pervasive developmental disorder, rett syndrome","","","rat model","","","","",""
"24","Sex-specific rates of transmission of psychosis in the New England high-risk family study","goldstein",2011,"study","","","","x?","","chrX abnormalities, sex-specific transmission","","psychosis","","","compared the proportion of M:F offspring with psychoses by affected parent sex and the consistency for SPS compared to AP parents, and tested (logistic regression) whether there was a significant diffbetween affected mothers and fathers","","","","",""
"25","Sex differences in autism spectrum disorders","werling",2013,"review","","","","x","","","","autism spectrum disorder","","","","","","","",""
"26","X chromosome inactivation in blood and prefrontal cortex of women with alcoholism","manzardo",2011,"study","","","","","","xci, xci skewing (not significant)","","alcoholism, primary alcoholism, neurological, embryonic development","","","PCR of the polymorphic androgen receptor gene on long arm of chrX","","","","",""
"27","Association of autism with polymorphisms in the paired-like homeodomain transcription factor 1 (PITX1) on chromosome 5q31: a candidate gene analysis","philippi",2007,"study","chr5q31, PITX1, neurogenin 1, H2AFY","","","x","","hormones, snps, expression","","autism","","","276 families from autism genetic resource exchane repository, SNP tagging, FBAT software for analysis","","","","",""
"28","SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism","beaudet",2017,"study","SLC6A14","","","x","","brain carnitine deficiency, exci","","autism","","","observation of carnitine across blood brain barrier in mice","","","","",""
"29","ProtocadherinX/Y, a candidate gene-pair for schizophrenia and schizoaffective disorder: A DHPLC investigation of genomic sequence","giouzeli",2004,"study","PCDHX, PCDHY","","x","","","coding variants, potential xci","","schizophrenia, schizoaffective psychosis","","","examined differences in genomic sequences of patients ","","","","",""
"30","Identification of developmental disorders including autism spectrum disorder using salivary miRNAs in children from Bosnia and Herzegovina","sehovic",2020,"experiment","","","","","","dysregulation of miRNAs, differential expression ","","autism spectrum disorder","","","14 miRNAs were tested on saliva of children suspected to have ASD, qRT-PCR, logistix regrssion","","","","","trying to ID biomarkers"
"31","Autism-like behaviors in male mice with a Pcdh19 deletion","lim",2019,"experiment","PCDH19","","","","","","","efmr, autism-like phenotypes","","","knockout mouse model","","","","",""
"32","Cellular and molecular characterization of multiplex autism in human induced pluripotent stem cell-derived neurons","lewis",2019,"experiment","","","","","","","induced pluripotent stem cells","autism spectrum disorder","","","ipsc models","","","","",""
"33","The Molecular Basis of Depression: Implications of Sex-Related Differences in Epigenetic Regulation","kawatake-kuno",2021,"review","","","","x","","","","major depressive disorder","","x","","","","","",""
"34","Contributions of Sex Chromosomes and Gonadal Hormones to the Male Bias in a Maternal Antibody-Induced Model of Autism Spectrum Disorder","gata-garcia",2021,"experiment","Caspr2","","","x","","","","autism","","","foure-core-genotype mouse model","","","","",""
"35","Sexually divergent development of depression-related brain networks during healthy human adolescence","dorfschmidt",2022,"study","","","","x","","","","depression during adolesence, depression, mood disorders","","","fMRI data","","","","",""
"36","A haplotype-specific linkage disequilibrium pattern of monoamine oxidase A gene associated with regular smoking in women","chiang",2019,"study","MAOA","","","sort of?","","","","cigarette smoking","","","halotype-based association, SNP genotyping","","","","",""
"37","Brain carnitine deficiency causes nonsyndromic autism with an extreme male bias: A hypothesis","beaudet",2017,"study","SLC6A14","","","x","","brain carnitine deficiency, exci","","autism","","","","","","","","really not rocking wiht this article"
"38","A latent modeling approach to genotype-phenotype relationships: maternal problem behavior clusters, prenatal smoking, and MAOA genotype","mcgrath",2012,"study","MAOA","","","","","","","antisocial behavior","","","latent modeling approach from prospective pregnancy cohort to model female problem behavior phenotype","","","","",""
"39","Maltreatment, MAOA, and Delinquency: Sex Differences in Gene-Environment Interaction in a Large Population-Based Cohort of Adolescents","aslund",2011,"study","MAOA-VNTR","","","","","functional polymorphism + childhood maltreatment","","adolescent delinquency","","","cohort of 1825 high school students completed an anonymous questionnaire, saliva samples collected","","","","",""
"40","Etiologies underlying sex differences in Autism Spectrum Disorders","schaafsma",2014,"review","","","","x","","","","autism spectrum disorders","","","","","","","",""
"41","The genetics of sex differences in brain and behavior","ngun",2011,"review","","","","x","","","","behavioral, brain","","","","","","","",""
"42","Autism-lessons from the X chromosome","marco",2006,"review","","","","","","","","autism","","","","","","","",""
"43","Statistical methods for testing X chromosome variant associations: application to sex-specific characteristics of bipolar disorder","jons",2019,"study","","","","x","","xci","","bpd","","","""We examined the association of over 14,000 X chromosome single nucleotide polymorphisms (SNPs) with sex-associated BD traits using two statistical approaches that account for whether a SNP may be undergoing or escaping XCI""","","","","","come back to this"
"44","Chromosome fragility and psychopathology in obligate female carriers of the fragile X chromosome","freund",1992,"study","","","","","","fragility (fragile X)","","psychopathological conditions","","","""...was investigated in a sample of 40 obligate female carriers of the fragile X chromosome""","","","","",""
"45","MAOA haplotypes associated with thrombocyte-MAO activity","Jansson",2005,"study","MAO","","","x","","EXCI","","thrombocyte mao activity","","","","","","","",""
"46","A new sex-specific underlying mechanism for female schizophrenia: accelerated skewed X chromosome inactivation","Zhang",2020,"study","","","","x","","skewed xci","","schizophrenia, neurological","","","","","","","",""
"47","Sexual partner preference in animals and humans","Balthazart",2020,"review","","","","x","","immunological system","","sexual orientation, homosexual","","","","","","","",""
"48","Could a recommended daily allowance for carnitine in infancy prevent 10-20% of autism?","Beaudet",2018,"experiment","SLC6A14","TMLHE","","x","","brain carnitine deficiency, xci","","autism, brain","","","mice","","","","",""
"49","Translating the Transcriptome: Sex Differences in the Mechanisms of Depression and Stress, Revisited","Rainville",2022,"review","","","","x","","","","stress, mood disorder, depression, brain","","","","","","","",""
"50","The female protective effect in autism spectrum disorder is not mediated by a single genetic locus","Gockley",2015,"analysis","","","","x","","exci","","autism, asd","","","association study","","","","",""
"51","SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism","Beaudet",2017,"experiment","SLC6A14","","","x","","xci","","brain, brain carnitine deficiency, autism, infant, paediatric","","","","","","","",""
