"","title","lead.author","year","publication.type","genetics","genomic","evolution","sex.differences","dosage..test.","mechanism","cell.stuff","issue","development","epigenetics","methods","treatment","race","unsure","irrelevant","notes.etc"
"21","Short stature due to SHOX deficiency: Genotype, phenotype, and therapy","binder",2011,"review","SHOX","","","","","SHOX deficiency, exci","","short stature","","","","","","","",""
"22","How does biological sex affect the physiological response to nanomaterials?","yang",2021,"review","","","","x","","","","response to nanomaterials","","","","nanomaterials","","","",""
"23","Gender Differential Transcriptome in Gastric and Thyroid Cancers","sousa",2020,"study","sex-biased genes","","","x","","differentially expressed genes","","cancer, gastric, thyroid","","","detailed characterization of transcriptomic differences between genders in normal and tumor tissues from stomach and thyroid using gtex and tcga data","","","","",""
"24","RNA-seq Characterization of Sex-Differences in Adipose Tissue of Obesity Affected Patients: Computational Analysis of Differentially Expressed Coding and Non-Coding RNAs","rey",2021,"experiment","","","","x","","transcriptional differences, lncrna","subcutaneous adipose tissue","obesity","","","rnaseq of five men and five women w obesity, computational analyses","","","","",""
"25","Physiological and molecular sex differences in human skeletal muscle in response to exercise training","landen",2021,"","","","","x","","","","exercise physiology","","","","","","","",""
"26","The acid-base balance and gender in inflammation: A mini-review","casimir",2018,"review","","","","x","","","","acidosis, inflammatry diseases","","","","","","","",""
"27","Genetic screening of C2399A SNP associated with the XPNPEP2 gene in South African hypertensive, ACE inhibitor induced angioedema in patients and controls","stark",2009,"study","C2399A","","","","","potential lyonization","","angiodema","","","patient studies, blood samples","angiotensin converting enzyme inhibitors","x","","",""
"28","Reduced bone formation in males and increased bone resorption in females drive bone loss in hemophilia A mice","neale weitzmann",2019,"experiment","","","","x","","bone accretion","","hemophilia a, osteoporosis","","","skeleton phenotyping of f8 knockout mice with severe HA","","","","",""
"29","TFOS DEWS II Sex, Gender, and Hormones Report","sullivan",2017,"subcommittee report (review)","","","","x","","hormones, chromosomes","","dry eye disease","","","","","","","",""
"30","Does genotypic sex have a direct effect on longevity?","smith",1989,"","","","","x","","x reactivation","","longevity","","","","","","","",""
"31","Role of the Androgen Receptor Gene CAG Repeat Polymorphism on the Sequence of Pubertal Events and Adiposity in Girls with High Dehydroepiandrosterone Sulfate Level","lardone",2019,"case-control study","(CAG)n","","","","","hormones, gene expression?","androgen receptor","pubertal events, body composition","","methylation levels","nested case-control study within the growth and obesity cohort study with girls who had high dehydropiandroesterone sulfate","","","","",""
"32","X-inactivation and human disease: X-linked dominant male-lethal disorders","franco",2006,"","","","","","","xci","","oral-facial-digital type i, micropthalmia, linear skin-defects syndromes","","","discussion of mouse models","","","","",""
"33","Control of UVB immunosuppression in the mouse by autosomal and sex-linked genes","noonan",1994,"experiment","CB6F1, B6CF1","","","x","","irradiation with YVB","","systemic immunosuppression detectable as suppression of contact hypersensitivity, susceptibility to uv suppression","","","investigated susceptibility to UV suppression in reciprocal F1-hybrid and backcross mice derived from BALB/c (low) and C57BL/6 (high)","","","","",""
"34","Unusual clinical expression of dystrophinopathy in a female, mimicking a congenital myopathy","palmucci",1999,"case study","","","","","","xci ","","delayed motor development, hypotrophy","","","""Among 2,243 cytogenetically investigated hematologic malignancies [studied]...""","","","","",""
"35","Greater Intrasex Phenotype Variability in Males Than in Females is a Fundamental Aspect of the Gender Differences in Humans","lehre",2009,"study","","","","x","","","","intrasex variability","","","restrospective statistical analysis of human intrasex variability","","","","",""
"36","Prenatal sex differentiation: genetic and hormonal control","lenz",1974,"","","","","sex differentiation","","","","prenatal sex differentiation","","","","","","","",""
"37","Adrenoleukodystrophy in female heterozygotes: underrecognized and undertreated","jangouk",2012,"review","ABCD1","","","x","","gene mutations, fatty chain alterations","","x-linked adrenoleukodystrophy","","","","","","","",""
"38","Sex differences in number of X chromosomes and X-chromosome inactivation in females promote greater variability in hearing among males","Summers",2022,"data analysis","","","","x","","xci, greater male variability","","hearing","","","","","","","",""
"39","Women and Alport syndrome","Rheault",2012,"review","","","","","","XCI skewing","","x-linked alport syndrome, xlas, renal disease, esrd","","","","","","","",""
"40","Deconstructing the sex bias in allergy and autoimmunity: From sex hormones and beyond","Laffont",2019,"review","TLR7","","","x","","exci","","autoimmune, sle, asthma, immunological","","","immune cells","","","","",""
"41","Sex differences in obesity, lipid metabolism, and inflammation—A role for the sex chromosomes?","Zore",2018,"review","","","","x","","exci","","obesity, inflammation","","","mice","","","","",""
"42","Translating the Transcriptome: Sex Differences in the Mechanisms of Depression and Stress, Revisited","Rainville",2022,"review","","","","x","","","","stress, mood disorder, depression, brain","","","","","","","",""
"43","Height discordance in monozygotic females is not attributable to discordant inactivation of X-linked stature determining genes","Healey",2001,"study","","","","","","","","height","","","","","","","yea",""
"44","Sex bias in paediatric autoimmune disease - Not just about sex hormones?","Chiaroni-Clarke",2016,"review","","","","x","","","","autoimmune, juvenile idiopathic arthritis, jia, paediatric","","","","","","","",""
